video_id,title,link
IZliv4xo67c,Flexdashboard - Sesion 1 - 2020-08-12,https://youtu.be/IZliv4xo67c
Gty0tPoESxc,RnoteBooks parte 2,https://youtu.be/Gty0tPoESxc
96niOlwgosg,Probabilidad Condicional - Problema 77,https://youtu.be/96niOlwgosg
kFRAm2f2YS4,Probabilidad Condicional - Problema 76,https://youtu.be/kFRAm2f2YS4
imDMLZZVACs,Probabilidad condicional - Problema 75,https://youtu.be/imDMLZZVACs
JRt_YIAYL1g,R Note Books Parte 1,https://youtu.be/JRt_YIAYL1g
snyzIXkZMbY,Agregando estadisticas al boxplot ggplot2,https://youtu.be/snyzIXkZMbY
-TkVVs2zlsY,Taller. Visualizacion de datos con GGPLOT parte 3,https://youtu.be/-TkVVs2zlsY
6MfVY3NJH1E,Visualizacion con ggplot 2 parte 2,https://youtu.be/6MfVY3NJH1E
_6JsEhMMyao,Introduccion a GGPLOT 2,https://youtu.be/_6JsEhMMyao
rD6TfqD0Y4A,Taller Tidy Data,https://youtu.be/rD6TfqD0Y4A
Qs1m94AmqZM,Manipulacion de datos con dplyr parte3,https://youtu.be/Qs1m94AmqZM
0Ve54pZest8,Manipulacion de Datos con DPLYR Part 2,https://youtu.be/0Ve54pZest8
QYYxoosP9u4,Manipulacion de datos con Dplyr en R sesion 1,https://youtu.be/QYYxoosP9u4
0ttBrNZ4akg,Taller Manipulacion de Datos,https://youtu.be/0ttBrNZ4akg
EwLZW7HTlb4,Probabilidad Condicional - Problema  73 y 74,https://youtu.be/EwLZW7HTlb4
s6oIxMjCmlQ,Probabilidad Condicional - Problema 72,https://youtu.be/s6oIxMjCmlQ
VXKgEvZecX8,Probabilidad Condicional - Problema 71,https://youtu.be/VXKgEvZecX8
4iTLel_-46w,Probabilidad - Problema 70,https://youtu.be/4iTLel_-46w
v1k5tyg-u40,Probabilidad - Problema 69,https://youtu.be/v1k5tyg-u40
r-mS-chnxJw,Probabilidad - ejercicio 68,https://youtu.be/r-mS-chnxJw
Jt9NUEySBx0,Probabilidad - Problema 67,https://youtu.be/Jt9NUEySBx0
NXz_Y-DACaQ,Probabilidad - Problema 66,https://youtu.be/NXz_Y-DACaQ
rzzXYeoEm1I,"Probabilidad - Problemas 63, 64, 65",https://youtu.be/rzzXYeoEm1I
2HNp8TBxXtk,Probabilidad - Problema 62,https://youtu.be/2HNp8TBxXtk
lzlOVbeth1g,Probabilidad - Problema 61 - Paradoja Cumpleaños - Parte 2,https://youtu.be/lzlOVbeth1g
b3ICiZlGXdc,Probabilidad - Problema 60 - Paradoja Cumpleaños - Parte 1,https://youtu.be/b3ICiZlGXdc
yspwVnChwOQ,Probabilidad -  Ejercicio 59,https://youtu.be/yspwVnChwOQ
ae_JpNzrATU,Probabilidad - ejercicios 54 al 58,https://youtu.be/ae_JpNzrATU
TdReXOj88j4,probabilidad - ejercicios 52 y 53,https://youtu.be/TdReXOj88j4
Ae7Ql0eKu64,Probabilidad - ejercicios 50 y 51,https://youtu.be/Ae7Ql0eKu64
hVkucvXz1dc,Probabilidad - ejercicios 48 y 49,https://youtu.be/hVkucvXz1dc
R-QOTvvI6Iw,Probabilidad - ejercicios 46 y 47,https://youtu.be/R-QOTvvI6Iw
Ue1WZM6VNiA,probabilidad - Ejercicio 45,https://youtu.be/Ue1WZM6VNiA
tMQXJnv8SAg,"probabilidad - ejercicio 41, 42, 43, 44",https://youtu.be/tMQXJnv8SAg
KLDTS8gwBXo,"probabilidad - ejercicio 38, 39, 40, 41",https://youtu.be/KLDTS8gwBXo
kko-GoSJxNQ,probabilidad - Ejercicios 35 al 37,https://youtu.be/kko-GoSJxNQ
ETybic7Z4Yw,probabilidad - ejercicio 34,https://youtu.be/ETybic7Z4Yw
CfhfzkmYOMM,probabilidad - ejercicio 31,https://youtu.be/CfhfzkmYOMM
U2k3_wXAWZs,probabilidad - problema 32,https://youtu.be/U2k3_wXAWZs
ZfID7BiL-Go,probabilidad - ejercicio 33,https://youtu.be/ZfID7BiL-Go
bNr_W6Rh9eI,probabilidad - ejercicios 25 y 26,https://youtu.be/bNr_W6Rh9eI
2rF4BlQaJ1Y,probabilidad - Ejercicio 27,https://youtu.be/2rF4BlQaJ1Y
NfpqGtHBVeE,probabilidad - ejercicio 28,https://youtu.be/NfpqGtHBVeE
vVH_-Jp0Yb0,probabilidad - Ejercicio 29,https://youtu.be/vVH_-Jp0Yb0
